"time","Ribosome","coli Pol","coli Pol-P","coli Pol-2.0","coli Pol-P-2.0","tabasco_id","sim_count"
0,10000,1800,0,0,0,"gp1",0
5,10000,1800,0,0,0,"gp1",0
10,10000,1794.3,0,0,0,"gp1",0
15,9999.76,1787.22,0,0,0,"gp1",0
16,10000,1791.33,0,0,0,"gp1",0
20,9995.52,1780.94,0,0,0,"gp1",0
25,9983.97,1774.02,0,0,0,"gp1",0
30,9961.53,1767.17,0,0,0,"gp1",0
35,9926.95,1758.25,0,0,0,"gp1",0
40,9882.33,1749.93,0,0,0,"gp1",0
45,9828.4,1741.24,0,0,0,"gp1",0
50,9763.93,1733.17,0,0,0,"gp1",0
55,9689.41,1724.55,0,0,0,"gp1",0
60,9605.73,1715.69,0,0,0,"gp1",0
65,9512.55,1707.26,0.2,0,0,"gp1",0
70,9404.86,1694.34,3.48,0,0,"gp1",0
75,9289.2,1675.29,12.8,0,0,"gp1",0
80,9159.34,1648.02,30.63,0,0,"gp1",0
85,9024.12,1611.67,57.55,0,0,"gp1",0
90,8874.94,1565.42,93.99,0,0,"gp1",0
95,8719.54,1510.94,139.4,0,0,"gp1",0
100,8551.03,1446.95,194.35,0,0,"gp1",0
105,8372.33,1373.72,257.95,0,0,"gp1",0
110,8182.11,1292.61,330.33,0,0,"gp1",0
115,7983.61,1203.09,410.88,0,0,"gp1",0
120,7773.67,1104.6,500.5,0,0,"gp1",0
125,7559.4,995.69,601.53,0,0,"gp1",0.09
130,7333.29,878.77,709.77,0,0,"gp1",1.16
135,7098.3,752.89,827.79,0,0,"gp1",4.83
140,6849.89,620.59,953.17,0,0,"gp1",16.03
145,6591.53,479.36,1087.85,0,0,"gp1",35.76
150,6317.64,330.63,1230.87,0,0,"gp1",66.18
155,6026.15,181.36,1373.41,0,0,"gp1",107.89
160,5721.64,65.27,1484.02,0,0,"gp1",158.5
165,5395.48,9.31,1535.02,0,0,"gp1",219.35
170,5049.71,0.11,1542.22,0,0,"gp1",288.66
175,4667.25,0.03,1540.22,0,0.23,"gp1",361.44
180,4233.28,0.03,1537.85,0,2.51,"gp1",446.35
185,3742.45,0.03,1531.26,0,10.62,"gp1",537.15
190,3180.17,0,1516.85,0,27.2,"gp1",636.49
195,2530.34,0.01,1491.82,0,54.89,"gp1",736.83
200,1777.09,0,1456.49,0,94.57,"gp1",839.08
205,973.74,0,1410.1,0,144.91,"gp1",940.72
210,349.12,0,1349.18,0,209.21,"gp1",1041.75
215,77.8,0.01,1281.84,0,280.23,"gp1",1142.54
220,23.77,0,1212.25,0,354.58,"gp1",1235.35
225,16.22,0,1146.08,0,424.33,"gp1",1329.01
230,11.95,0,1080.56,0,493.41,"gp1",1430.27
235,10.01,0,1018.97,0,558.3,"gp1",1537.92
240,7.39,0,957.2,0,623.51,"gp1",1654.42
245,6.56,0.01,898.77,0,684.89,"gp1",1786.85
250,5.71,0.01,841.31,0,745.3,"gp1",1935.61
255,4.96,0,785.32,0,803.64,"gp1",2094.95
260,4.74,0,729.36,0,862.04,"gp1",2264.79
265,4.02,0,675,0,918.69,"gp1",2446.23
270,4.18,0.01,623.52,0,972.06,"gp1",2623.05
275,3.85,0.01,574.27,0,1023.35,"gp1",2776.27
